Name of Package ,, Price ,, Duration ,, Rating ,, Tour Type ,, Trek Difficulty ,, Operator ,, Location ,, Primary Activity ,, Secondary Activity ,, Image ,, 
Highlights Of Bhutan & Nepal - 15 Days ,, 605550 ,, 15days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, On The Go Tours ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/highlights-of-bhutan-and-nepal-15-days-tour-2-424932_1527865413.JPG ,, 
Everest Base Camp Helicopter Tour - 1 Day ,, 172150 ,, 1days ,, 5.0  ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Day Tours and Excursions ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-helicopter-tour-1-day-tour-2-21976_1545556465.JPG ,, 
Upper Mustang Trek ,, 269500 ,, 15days ,, nan ,, Private Tour   ,, Moderate ,, Trek Nepal Intl PVT.LTD ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/upper-mustang-trek-tour-2-784_1512376796.JPG ,, 
Everest Panorama Trek - Private Trip ,, 96250 ,, 8days ,, nan ,, Private Tour   ,, nan ,, Exciting Nepal Treks and Expedition ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-panorama-trek-private-trip-tour-2-608_0.JPG ,, 
Everest-at-a-glance Trek ,, 112750 ,, 12days ,, nan ,, Private Tour   ,, Moderate ,, Buddha Treks and Expedition ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-at-a-glance-trek-tour-2-267861_1544437882.JPG ,, 
Everest Base Camp With Gokyo Valley Trek ,, 181500 ,, 19days ,, 5.0  ,, Private Tour   ,, Hard ,, Ace the Himalaya ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-with-gokyo-valley-trek-tour-2-259_1510029029.JPG ,, 
Delhi To Kathmandu ,, 264550 ,, 15days ,, 4.4  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/delhi-to-kathmandu-tour-2-349913_0.JPG ,, 
Nepal Bhutan Tour ,, 244530 ,, 12days ,, nan ,, Private Tour   ,, nan ,, Himalayan Trekking and Tours (P) Ltd ,, Pokhara Tours ,,  ,,  ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nepal-bhutan-tour-tour-2-265523_1510029029.JPG ,, 
Upper Mustang Trekking ,, 178200 ,, 14days ,, nan ,, Private and Group Tour   ,, Medium ,, Nepal Eco Adventure Pvt Ltd ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/upper-mustang-trekking-tour-2-345_1535191410.JPG ,, 
Mera Peak Climb ,, 451550 ,, 21days ,, 5.0  ,, Group Tour - Max 12 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/mera-peak-climb-tour-2-351565_0.JPG ,, 
Makalu Base Camp Trekking - Private Trip ,, 229900 ,, 21days ,, nan ,, Private Tour   ,, nan ,, Adventure Bound Treks and Tours ,, Makalu Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/makalu-base-camp-trekking-private-trip-tour-2-621_0.JPG ,, 
Everest View Luxury Lodges Trek ,, 449900 ,, 16days ,, 4.0  ,, Private Tour   ,, Medium ,, Unique Adventure International Pvt Ltd ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-view-luxury-lodges-trek-tour-2-269933_1510029029.JPG ,, 
Nepal: Himalaya Highlights ,, 213070 ,, 10days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, G Adventures ,, Kathmandu ,, Wildlife Landscapes And Nature ,, Wildlife ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nepal-himalaya-highlights-tour-2-26118_1543566157.JPG ,, 
Kathmandu Rim Bike Tour ,, 32450 ,, 3days ,, nan ,, Private Tour   ,, nan ,, Mount Adventure Holidays ,, Kathmandu ,, Adventure And Sport Activities ,, Mountain biking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/kathmandu-rim-bike-tour-tour-2-270085_1521013363.JPG ,, 
Nagarkot Trek 2 Days 1 Night ,, 14300 ,, 2days ,, 5.0  ,, Private Tour   ,, Easy ,, Eyes On Nepal (Nirwana Ceria Nepal Tours & Treks Pvt.Ltd) ,, Nagarkot ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nagarkot-trek-2-days-1-night-tour-2-21153_1544587062.JPG ,, 
Kathmandu Valley Day Tour ,, 6600 ,, 6 hours ,, 4.3  ,, Private Tour   ,, nan ,, Green Valley Nepal Treks Pvt Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Day Tours and Excursions ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/kathmandu-valley-day-tour-tour-2-14037_1510029029.JPG ,, 
Langtang Valley Trek ,, 76450 ,, 11days ,, nan ,, Private Tour   ,, Medium ,, Breakfree Adventures Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-valley-trek-tour-2-23724_1510029029.JPG ,, 
Trisuli River Rafting Day Trip ,, 7150 ,, 1days ,, 4.4  ,, Private Tour   ,, nan ,, GRG Adventure Kayaking ,, Trisuli River ,, Boat Tours Water Sports And Marine Wildlife ,, Rafting ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/trisuli-river-rafting-day-trip-tour-2-266813_1510029029.JPG ,, 
Manaslu Circuit Trek ,, 137500 ,, 19days ,, nan ,, Private Tour   ,, Medium ,, Glorious Himalaya Trekking Pvt Ltd. ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/manaslu-circuit-trek-tour-2-277082_1510029029.JPG ,, 
Annapurna Base Camp Trek ,, 57750 ,, 11days ,, 5.0  ,, Private Tour   ,, Hard ,, Base Camp Adventure Treks & Expedition Pvt. Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trek-tour-2-323596_1544587258.JPG ,, 
Annapurna Circuit Trek ,, 123750 ,, 15days ,, nan ,, Private Tour   ,, Medium ,, Trek Nepal Intl PVT.LTD ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-circuit-trek-tour-2-12626_0.JPG ,, 
Annapurna Circuit ,, 110000 ,, 15days ,, nan ,, Private Tour   ,, Hard ,, Mosaic Adventure ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-circuit-tour-2-12013_0.JPG ,, 
Tamang Heritage & Langtang Valley Trek ,, 141900 ,, 15days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/tamang-heritage-and-langtang-valley-trek-tour-2-354780_1531739815.JPG ,, 
Everest Base Camp - 3 Passes Trek ,, 225500 ,, 19days ,, nan ,, Private Tour   ,, Hard ,, Trek Nepal Intl PVT.LTD ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-3-passes-trek-tour-2-789_1512281189.JPG ,, 
Gokyo And Everest Base Camp Trek ,, 171600 ,, 14days ,, 5.0  ,, Private Tour   ,, Moderate ,, Advanced Adventures Pvt Ltd ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-and-everest-base-camp-trek-tour-2-512_1542628129.JPG ,, 
Everest View Trekking ,, 98890 ,, 8days ,, nan ,, Private Tour   ,, Moderate ,, Trekking Planner (P.) Ltd ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-view-trekking-tour-2-269883_1513507900.JPG ,, 
Explore Kathmandu City ,, 5390 ,, 1days ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Sightseeing Tours ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/explore-kathmandu-city-tour-2-23757_1538283472.JPG ,, 
Upper Mustang Trek ,, 179300 ,, 15days ,, 5.0  ,, Private Tour   ,, Hard ,, Friends Adventure Team Pvt. Ltd ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/upper-mustang-trek-tour-2-13888_1510029029.JPG ,, 
Nagarkot Day Hiking ,, 8250 ,, 1days ,, nan ,, Private Tour   ,, nan ,, Adventure Bound Treks and Tours ,, Nagarkot ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nagarkot-day-hiking-tour-2-267858_1542175542.JPG ,, 
Everest Helicopter Tour ,, 147950 ,, 4hours ,, 4.4  ,, Private Tour   ,, nan ,, Himalayan Leisure Inc. ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Day Tours and Excursions ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-helicopter-tour-tour-2-266578_1515645234.JPG ,, 
Canyoning ,, 9350 ,, 1days ,, 5.0  ,, Group Tour - Max 16 participants   ,, nan ,, Paddle Nepal Pvt Ltd ,, Pokhara ,, Adventure And Sport Activities ,, Canyoning ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/canyoning-tour-2-267898_1532465490.JPG ,, 
Cooking In Kathmandu ,, 7260 ,, 4hours ,, 5.0  ,, Group Tour - Max 12 participants   ,, nan ,, Urban Adventures ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Cultural religious and historic sites ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/cooking-in-kathmandu-tour-2-8093_0.JPG ,, 
Annapurna Base Camp Trek ,, 108900 ,, 12days ,, nan ,, Private Tour   ,, Moderate ,, Trek Nepal Intl PVT.LTD ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trek-tour-2-783_1512376472.JPG ,, 
Api Himal Exploratory ,, 584100 ,, 32days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/api-himal-exploratory-tour-2-431518_1528415762.JPG ,, 
Langtang Valley Trek ,, 80300 ,, 13days ,, nan ,, Private Tour   ,, Medium ,, Buddha Treks and Expedition ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-valley-trek-tour-2-267848_1510029029.JPG ,, 
Upper Mustang Trek ,, 209000 ,, 18days ,, nan ,, Private Tour   ,, Moderate ,, Glorious Himalaya Trekking Pvt Ltd. ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/upper-mustang-trek-tour-2-268288_1543308079.JPG ,, 
Everest View Trekking ,, 115500 ,, 10days ,, nan ,, Private Tour   ,, Moderate ,, Breakfree Adventures Pvt Ltd ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-view-trekking-tour-2-23745_1543559321.JPG ,, 
Nepal Family Holiday With Teenagers ,, 202400 ,, 11days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, Intrepid Travel ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nepal-family-holiday-with-teenagers-tour-2-354693_0.JPG ,, 
Nepal & India Overland ,, 654500 ,, 82days ,, 5.0  ,, Group Tour - Max 21 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nepal-and-india-overland-tour-2-354317_0.JPG ,, 
Trisuli River Rafting - Kathmandu To Pokhara ,, 6270 ,, 1days ,, nan ,, Group Tour - Max 24 participants   ,, nan ,, Paddle Nepal Pvt Ltd ,, Trisuli River ,, Boat Tours Water Sports And Marine Wildlife ,, Rafting ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/trisuli-river-rafting-kathmandu-to-pokhara-tour-2-330833_1517218084.JPG ,, 
Nepal Tibet Bhutan Tour ,, 348040 ,, 17days ,, 4.0  ,, Private Tour   ,, nan ,, Himalayan Trekking and Tours (P) Ltd ,, Kathmandu Tours ,,  ,,  ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nepal-tibet-bhutan-tour-tour-2-265527_1544587924.JPG ,, 
Bhutan: Druk Path Trek ,, 562650 ,, 12days ,, 4.6  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/bhutan-druk-path-trek-tour-2-351247_0.JPG ,, 
Festivals Of Bhutan ,, 485650 ,, 11days ,, 4.7  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Festivals and events ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/festivals-of-bhutan-tour-2-349850_0.JPG ,, 
1 Hour Mountain Flight ,, 26400 ,, 1hours ,, 5.0  ,, Private Tour   ,, nan ,, Nepal Lion Tours and Treks Pvt Ltd ,, Kathmandu ,, Air Tours Road Trips And Transfers ,, Mountain flights ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/1-hour-mountain-flight-tour-2-14045_0.JPG ,, 
Kathmandu By Night ,, 5060 ,, 2-3hours ,, 5.0  ,, Group Tour - Max 12 participants   ,, nan ,, Urban Adventures ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Cultural religious and historic sites ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/kathmandu-by-night-tour-2-8089_0.JPG ,, 
Everest Circuit & The Cho La ,, 313390 ,, 21days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-circuit-and-the-cho-la-tour-2-429531_1528353908.JPG ,, 
Visit The Sleeping Buddha ,, 6270 ,, 6-7hours ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Urban Adventures ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/visit-the-sleeping-buddha-tour-2-8068_0.JPG ,, 
Sightseeing Day Tour In Kathmandu ,, 9350 ,, 1hours ,, nan ,, Private Tour   ,, nan ,, Exciting Nepal Treks and Expedition ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Sightseeing Tours ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/sightseeing-day-tour-in-kathmandu-tour-2-10975_0.JPG ,, 
Upper Seti River Rafting - Best Pokhara Day Trip ,, 5610 ,, 3hours ,, 5.0  ,, Group Tour - Max 24 participants   ,, nan ,, Paddle Nepal Pvt Ltd ,, Pokhara ,, Boat Tours Water Sports And Marine Wildlife ,, Rafting ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/upper-seti-river-rafting-best-pokhara-day-trip-tour-2-267890_1532467890.JPG ,, 
Explore India & Nepal ,, 376090 ,, 17days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, G Adventures ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/explore-india-and-nepal-tour-2-452081_1540545688.JPG ,, 
Annapurna Base Camp Trek 10D/9N (from Pokhara) ,, 59290 ,, 10days ,, nan ,, Private Tour   ,, nan ,, Bamba Experience ,, Pokhara Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trek-10d-9n-from-pokhara-tour-2-362496_1520145790.JPG ,, 
Honeymoon Tour In Nepal ,, 88000 ,, 9days ,, nan ,, Private Tour   ,, nan ,, Nepal Lion Tours and Treks Pvt Ltd ,, Kathmandu ,, Beach Romance Getaways And Relaxation ,, Romantic ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/honeymoon-tour-in-nepal-tour-2-263782_1516890968.JPG ,, 
Nepal: Hike Bike & Raft ,, 157300 ,, 12days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu ,, Adventure And Sport Activities ,, Adventure ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nepal-hike-bike-and-raft-tour-2-268883_1516170410.JPG ,, 
Annapurna Base Camp Trek 12D/11N (From Kathmandu) ,, 65780 ,, 12days ,, nan ,, Private Tour   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trek-12d-11n-from-kathmandu-tour-2-362506_1521173303.JPG ,, 
Kathmandu Welcome Package 3D/2N ,, 13640 ,, 3days ,, nan ,, Self-guided Tour   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/kathmandu-welcome-package-3d-2n-tour-2-382400_1521168392.JPG ,, 
Nepal Adventure 8D/7N ,, 65120 ,, 8days ,, nan ,, Self-guided Tour   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nepal-adventure-8d-7n-tour-2-390969_1521269769.JPG ,, 
10 Days Sunkoshi River Rafting Tour ,, 62150 ,, 10days ,, nan ,, Private Tour   ,, nan ,, Nepal River Runner ,, Sun Koshi River ,, Boat Tours Water Sports And Marine Wildlife ,, Rafting ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/10-days-sunkoshi-river-rafting-tour-tour-2-11805_0.JPG ,, 
Highway To Himalayas - 16 Days ,, 394460 ,, 16days ,, nan ,, Group Tour - Max 24 participants   ,, nan ,, On The Go Tours ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/highway-to-himalayas-16-days-tour-2-424876_1527873811.JPG ,, 
Essence Of Nepal & Bhutan ,, 818950 ,, 20days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Peregrine Adventures ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/essence-of-nepal-and-bhutan-tour-2-335170_0.JPG ,, 
Annapurna Base Camp Landing By Helicopter ,, 52250 ,, 2hours ,, 5.0  ,, Private Tour   ,, nan ,, Exciting Nepal Treks and Expedition ,, Annapurna Base Camp Trek ,, Air Tours Road Trips And Transfers ,, Helicopter Tours ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-landing-by-helicopter-tour-2-326179_1547474603.JPG ,, 
Nagarjun Day Hike ,, 6600 ,, 1days ,, nan ,, Private Tour   ,, Easy ,, Adventure Bound Treks and Tours ,, Nagarjun ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nagarjun-day-hike-tour-2-267875_1510029029.JPG ,, 
Kathmandu Day Tour ,, 14300 ,, 12hours ,, nan ,, Private Tour   ,, nan ,, Eyes On Nepal (Nirwana Ceria Nepal Tours & Treks Pvt.Ltd) ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Day Tours and Excursions ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/kathmandu-day-tour-tour-2-20837_1510029029.JPG ,, 
Everest Base Camp High Flyer ,, 480590 ,, 14days ,, nan ,, Group Tour - Max 10 participants   ,, nan ,, World Expeditions ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-high-flyer-tour-2-429463_1528335049.JPG ,, 
Trek Annapurna And Everest ,, 302940 ,, 15days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/trek-annapurna-and-everest-tour-2-431208_1528390063.JPG ,, 
Mera & Island Peak Via Amphu Labsta ,, 538120 ,, 30days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, World Expeditions ,, Island Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/mera-and-island-peak-via-amphu-labsta-tour-2-430552_1528361814.JPG ,, 
Vintage Nepal ,, 341220 ,, 12days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Peregrine Adventures ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/vintage-nepal-tour-2-335188_0.JPG ,, 
Ama Dablam Base Camp Trek ,, 229790 ,, 14days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/ama-dablam-base-camp-trek-tour-2-431064_1528420934.JPG ,, 
Day Tour Of Kathmandu Valley ,, 9350 ,, 1days ,, nan ,, Private Tour   ,, nan ,, Nepal Eco Adventure Pvt Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Day Tours and Excursions ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/day-tour-of-kathmandu-valley-tour-2-23925_1531909260.JPG ,, 
Gokyo Lake Trekking ,, 138600 ,, 15days ,, nan ,, Private Tour   ,, Medium ,, Breakfree Adventures Pvt Ltd ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-lake-trekking-tour-2-23741_1544257098.JPG ,, 
Everest Base Camp Helicopter Tour ,, 143000 ,, 4hours ,, 5.0  ,, Private Tour   ,, nan ,, Exciting Nepal Treks and Expedition ,, Kathmandu ,, Air Tours Road Trips And Transfers ,, Helicopter Tours ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-helicopter-tour-tour-2-445832_1538831539.PNG ,, 
Nagarjun Hill Day Hike ,, 7700 ,, 1days ,, nan ,, Private Tour   ,, Easy ,, Breakfree Adventures Pvt Ltd ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nagarjun-hill-day-hike-tour-2-352908_1530773671.JPG ,, 
Classic Nepal ,, 254320 ,, 11days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/classic-nepal-tour-2-354700_0.JPG ,, 
1-day Kathmandu Valley Exploration ,, 12760 ,, 1days ,, 5.0  ,, Group Tour - Max 15 participants   ,, nan ,, Unique Adventure International Pvt Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Sightseeing Tours ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/1-day-kathmandu-valley-exploration-tour-2-269944_1510029029.JPG ,, 
Canyoning Day Trip ,, 9350 ,, 1days ,, nan ,, Private Tour   ,, nan ,, GRG Adventure Kayaking ,, Kathmandu ,, Adventure And Sport Activities ,, Canyoning ,, https://i.ytimg.com/vi/SzrUQkR9qpg/0.jpg ,, 
Everest Base Camp Helicopter Tour ,, 146300 ,, 4hours ,, 5.0  ,, Private Tour   ,, nan ,, Master Himalaya Treks and Expedition Pvt Ltd ,, Everest Region ,, Air Tours Road Trips And Transfers ,, Helicopter Tours ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-helicopter-tour-tour-2-339274_1518503689.JPG ,, 
Langtang & Gosainkund Lakes Trek ,, 219340 ,, 17days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-and-gosainkund-lakes-trek-tour-2-430326_1528413464.JPG ,, 
Exploring Patan And Bhaktapur: Kathmandu Valley’s Other Kingdoms ,, 10670 ,, 6-7hours ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Urban Adventures ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Cultural religious and historic sites ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/exploring-patan-and-bhaktapur-kathmandu-valley-s-other-kingdoms-tour-2-20991_1525323663.JPG ,, 
Walking Tour Of Kathmandu ,, 2750 ,, 6hours ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Walking tours ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/walking-tour-of-kathmandu-tour-2-448368_1534676926.JPG ,, 
Shivapuri Loop Bike Tour ,, 9350 ,, 7hours ,, nan ,, Private Tour   ,, nan ,, Mount Adventure Holidays ,, Kathmandu ,, Adventure And Sport Activities ,, Mountain biking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/shivapuri-loop-bike-tour-tour-2-271098_1521010947.JPG ,, 
Everest Base Camp Helicopter Tour ,, 165000 ,, 4hours ,, 5.0  ,, Private Tour   ,, nan ,, Himalayan Trekking and Tours (P) Ltd ,, Everest Region ,, Air Tours Road Trips And Transfers ,, Helicopter Tours ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-helicopter-tour-tour-2-266853_1515402421.JPG ,, 
Mountain Biking Adventures On The Outskirts Of Kathmandu ,, 11000 ,, 4-5hours ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Urban Adventures ,, Kathmandu ,, Adventure And Sport Activities ,, Bicycle tours ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/mountain-biking-adventures-on-the-outskirts-of-kathmandu-tour-2-8045_0.JPG ,, 
Tibet Uncovered ,, 554400 ,, 15days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/tibet-uncovered-tour-2-353170_0.JPG ,, 
Everest Flight ,, 24200 ,, 1hours ,, 4.5  ,, Private Tour   ,, nan ,, Himalayan Trekking and Tours (P) Ltd ,, Kathmandu ,, Air Tours Road Trips And Transfers ,, Mountain flights ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-flight-tour-2-318053_1536658148.JPG ,, 
