Name of Package ,, Price ,, Duration ,, Rating ,, Tour Type ,, Trek Difficulty ,, Operator ,, Location ,, Primary Activity ,, Secondary Activity ,, Image ,, 
Island Peak Climbing + Everest 3 High Passes Trek ,, 235400 ,, 21days ,, 5.0  ,, Private Tour   ,, Medium ,, Friends Adventure Team Pvt. Ltd ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/island-peak-climbing-everest-3-high-passes-trek-tour-2-28340_1528290376.JPG ,, 
Everest Panorama Trek ,, 99000 ,, 9days ,, 5.0  ,, Private Tour   ,, Medium ,, Nepal Eco Adventure Pvt Ltd ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-panorama-trek-tour-2-945_1510029029.JPG ,, 
Shangri-La Tour Of Tibet ,, 82500 ,, 8days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, Unique Adventure International Pvt Ltd ,, Kathmandu ,, Special Interests And Hobbies ,, Spiritual or religious tours ,, /pagespeed_static/1.JiBnMqyl6S.gif ,, 
Island Peak Climbing Trek ,, 204050 ,, 15days ,, 4.8  ,, Private and Group Tour   ,, nan ,, Nepal Guide Treks & Expedition ,, Island Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/island-peak-climbing-trek-tour-2-264272_1547119125.JPG ,, 
Annapurna Base Camp Short Trek ,, 53900 ,, 7days ,, 5.0  ,, Private Tour   ,, Moderate ,, Adventure Bound Treks and Tours ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-short-trek-tour-2-330800_1543552187.JPG ,, 
Upper Mustang Trek ,, 170500 ,, 14days ,, 4.5  ,, Private and Group Tour   ,, Medium ,, Unique Adventure International Pvt Ltd ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/upper-mustang-trek-tour-2-258220_1527159053.JPG ,, 
Delhi To Kathmandu ,, 174350 ,, 15days ,, 5.0  ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, /pagespeed_static/1.JiBnMqyl6S.gif ,, 
Everest View Trek ,, 108900 ,, 7days ,, 5.0  ,, Group Tour - Max 12 participants   ,, Easy ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-view-trek-tour-2-260141_1542001795.JPG ,, 
Ghandruk Loop Trek From Pokhara ,, 27500 ,, 3days ,, 4.0  ,, Private Tour   ,, Moderate ,, Breakfree Adventures Pvt Ltd ,, Pokhara ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/ghandruk-loop-trek-from-pokhara-tour-2-20893_1510029029.JPG ,, 
Gokyo Valley Trek ,, 115500 ,, 10days ,, 4.7  ,, Private Tour   ,, Medium ,, Nepal Eco Adventure Pvt Ltd ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-valley-trek-tour-2-119287_1510029029.JPG ,, 
Everest Base Camp Trek ,, 142010 ,, 15days ,, 4.8  ,, Group Tour - Max 15 participants   ,, Easy ,, G Adventures ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trek-tour-2-26110_1543566048.JPG ,, 
Mardi Himal Trek ,, 79200 ,, 6days ,, 4.2  ,, Private Tour   ,, Moderate ,, Unique Adventure International Pvt Ltd ,, Mardi Himal Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/mardi-himal-trek-tour-2-339278_1516898057.JPG ,, 
Kanchenjunga Circuit Trek ,, 230890 ,, 21days ,, 5.0  ,, Private Tour   ,, Medium ,, Mount Adventure Holidays ,, Kanchenjunga Base Camp ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/kanchenjunga-circuit-trek-tour-2-463108_1548579493.JPG ,, 
Everest Base Camp Trek ,, 115500 ,, 12days ,, 5.0  ,, Private Tour   ,, Medium ,, Adventure Bound Treks and Tours ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://i.ytimg.com/vi/Au7bBdLMsv4/0.jpg ,, 
Annapurna Base Camp Trek ,, 74250 ,, 10days ,, 4.8  ,, Private Tour   ,, Moderate ,, Outshine Adventure Pvt Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trek-tour-2-654_1546319474.JPG ,, 
Everest Base Camp Trek ,, 121000 ,, 12days ,, 4.9  ,, Private Tour   ,, Hard ,, Exciting Nepal Treks and Expedition ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://i.ytimg.com/vi/A_p5m9IWD0w/0.jpg ,, 
Summit Mera Peak ,, 223300 ,, 18days ,, 5.0  ,, Private Tour   ,, nan ,, Nepal Climbing Adventure Pvt. Ltd. ,, Mera Peak ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/summit-mera-peak-tour-2-449556_1537859273.JPG ,, 
Everest Base Camp Trek With Chopper Return ,, 245300 ,, 9days ,, 5.0  ,, Private Tour   ,, Moderate ,, Master Himalaya Treks and Expedition Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trek-with-chopper-return-tour-2-341125_1520220560.JPG ,, 
