Name of Package ,, Price ,, Duration ,, Rating ,, Tour Type ,, Trek Difficulty ,, Operator ,, Location ,, Primary Activity ,, Secondary Activity ,, 
Summit Mera Peak ,, 223300 ,, 18days ,, 5.0  ,, Private Tour   ,, nan ,, Nepal Climbing Adventure Pvt. Ltd. ,, Mera Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Everest Base Camp Trek With Chopper Return ,, 245300 ,, 9days ,, 5.0  ,, Private Tour   ,, Moderate ,, Master Himalaya Treks and Expedition Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Nagarkot To Dhulikhel Hike (Day Hiking In Kathmandu) ,, 7700 ,, 1days ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Nagarkot ,, Adventure And Sport Activities ,, Hiking ,, 
Trip To Everest Base Camp Tibet From Kathmandu ,, 240900 ,, 13days ,, nan ,, Private Tour   ,, nan ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Everest Base Camp Tibet ,, Wildlife Landscapes And Nature ,, Mountains ,, 
Island Peak Climbing & Everest Base Camp Trek ,, 195360 ,, 16days ,, 5.0  ,, Private Tour   ,, nan ,, Himalayan Leisure Inc. ,, Island Peak ,, Adventure And Sport Activities ,, Trekking ,, 
Mountain Biking On The Annapurna Circuit ,, 193600 ,, 14days ,, 5.0  ,, Private and Group Tour   ,, nan ,, Himalayan Single Track ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Mountain biking ,, 
Enduro Mountain Biking Around Kathmandu ,, 27500 ,, 2days ,, 5.0  ,, Private Tour   ,, nan ,, Himalayan Single Track ,, Nagarkot ,, Adventure And Sport Activities ,, Mountain biking ,, 
Cycling On The Apple Brandy Trail ,, 75900 ,, 5days ,, 5.0  ,, Private Tour   ,, nan ,, Himalayan Single Track ,, Annapurna Region ,, Adventure And Sport Activities ,, Mountain biking ,, 
Temples And Monasteries ,, 4950 ,, 5hours ,, nan ,, Private Tour   ,, nan ,, Himalayan Single Track ,, Kathmandu ,, Adventure And Sport Activities ,, Mountain biking ,, 
Night Ride In Kathmandu ,, 7150 ,, 3hours ,, nan ,, Private Tour   ,, nan ,, Himalayan Single Track ,, Kathmandu ,, Adventure And Sport Activities ,, Mountain biking ,, 
Morning Glory ,, 2750 ,, 2hours ,, 5.0  ,, Private Tour   ,, nan ,, Himalayan Single Track ,, Kathmandu ,, Adventure And Sport Activities ,, Mountain biking ,, 
Tour In Georgia 8 Days ,, 71170 ,, 8days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Sakura Ltd ,, Tbilisi Tours ,, Explorer ,, Explorer ,, 
10 Days Everest Base Camp Trek ,, 115500 ,, 10days ,, 5.0  ,, Group Tour   ,, Medium ,, Nepal Eco Adventure Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp & Island Peak Climb ,, 229900 ,, 19days ,, 5.0  ,, Private and Group Tour   ,, nan ,, Nepal Climbing Adventure Pvt. Ltd. ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Climbing ,, 
Everest Base Camp & Kalapatthar Trek ,, 104500 ,, 15days ,, 4.9  ,, Private and Group Tour   ,, Hard ,, Nepal Climbing Adventure Pvt. Ltd. ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Pokhara Full Day Sightseeing Tour ,, 8250 ,, 1days ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Pokhara ,, Sightseeing Attractions Culture And History ,, Sightseeing Tours ,, 
Pokhara Half Day Sightseeing Tour ,, 7150 ,, 4hours ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Pokhara ,, Sightseeing Attractions Culture And History ,, City sightseeing ,, 
30-minute Paragliding In Pokhara ,, 13750 ,, 3hours ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Pokhara ,, Adventure And Sport Activities ,, Paragliding ,, 
Sunrise View From Sarangkot ,, 8250 ,, 3hours ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Pokhara ,, Wildlife Landscapes And Nature ,, Natural landmarks sightseeing ,, 
Everest Base Camp Trek With Chopper Return (9 Days) ,, 264000 ,, 9days ,, nan ,, Private and Group Tour   ,, Hard ,, Nepal Eco Adventure Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Short Annapurna Base Camp Trek ,, 62150 ,, 8days ,, 5.0  ,, Private Tour   ,, Medium ,, Exciting Nepal Treks and Expedition ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Lang Tang Valley Trek ,, 61050 ,, 8days ,, 4.8  ,, Private Tour   ,, Moderate ,, Mount Adventure Holidays ,, Tamang Heritage Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Gokyo Lake Trek ,, 137500 ,, 15days ,, 5.0  ,, Private and Group Tour   ,, Medium ,, Nepal Guide Treks & Expedition ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
10-day Langtang Valley Trek ,, 52910 ,, 10days ,, 5.0  ,, Private Tour   ,, Easy ,, Himalayan Leisure Inc. ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
03-Day Chitwan Jungle Safari Tour ,, 17600 ,, 3days ,, nan ,, Private Tour   ,, nan ,, Base Camp Adventure Treks & Expedition Pvt. Ltd ,, Chitwan National Park ,, Wildlife Landscapes And Nature ,, Rainforest and jungle visits ,, 
Everest Base Camp Trek ,, 272250 ,, 16days ,, 5.0  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Gokyo Valley Trek ,, 113300 ,, 11days ,, 5.0  ,, Private and Group Tour   ,, Medium ,, Unique Adventure International Pvt Ltd ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Base Camp Trek ,, 69850 ,, 11days ,, 5.0  ,, Private Tour   ,, Medium ,, Exciting Nepal Treks and Expedition ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp - 3 High Passes Trek ,, 152900 ,, 16days ,, 5.0  ,, Private Tour   ,, Hard ,, Friends Adventure Team Pvt. Ltd ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
12-Day Annapurna Base Camp Trekking ,, 98890 ,, 12days ,, 5.0  ,, Private Tour   ,, Moderate ,, Trekking Planner (P.) Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Langtang Valley Trek ,, 43890 ,, 8days ,, 4.2  ,, Private Tour   ,, Moderate ,, Adventure Bound Treks and Tours ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Base Camp Trek ,, 80850 ,, 8days ,, 5.0  ,, Private Tour   ,, Moderate ,, Unique Path Trekking & Expedition (P) LTD. ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp Trek ,, 116050 ,, 11days ,, 5.0  ,, Private Tour   ,, Hard ,, Mount Adventure Holidays ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp Trek With Island Peak Climbing ,, 214500 ,, 17days ,, 4.5  ,, Private Tour   ,, nan ,, Nepal Eco Adventure Pvt Ltd ,, Island Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Manaslu Trek - 12 Days ,, 104500 ,, 12days ,, 4.5  ,, Private Tour   ,, Moderate ,, Nepal Lion Tours and Treks Pvt Ltd ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Kolkata To Kathmandu (via Bhutan) Overland ,, 611600 ,, 15days ,, nan ,, Group Tour - Max 22 participants   ,, nan ,, Intrepid Travel ,, Kolkata ,, Air Tours Road Trips And Transfers ,, Overland Road trips ,, 
Annapurna Base Camp Trek ,, 91300 ,, 11days ,, 5.0  ,, Private Tour   ,, Moderate ,, Nepal Hiking Team ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Base Camp Trek ,, 71500 ,, 8days ,, 5.0  ,, Private and Group Tour   ,, Moderate ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Circuit Trek ,, 75900 ,, 16days ,, 4.8  ,, Private Tour   ,, Medium ,, Glorious Himalaya Trekking Pvt Ltd. ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Walking Annapurna ,, 45650 ,, 5days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Pokhara ,, Adventure And Sport Activities ,, Trekking ,, 
Everest & Gokyo Lakes Circuit ,, 289850 ,, 19days ,, 4.9  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Poonhill Trek ,, 53900 ,, 6days ,, 4.9  ,, Private Tour   ,, Easy ,, Exciting Nepal Treks and Expedition ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp Trekking 12 Days ,, 116600 ,, 12days ,, 4.8  ,, Private Tour   ,, Hard ,, Nepal Lion Tours and Treks Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest & Annapurna ,, 325050 ,, 31days ,, nan ,, Group Tour - Max 16 participants   ,, Easy ,, Intrepid Travel ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
